	NAME	FNAME	POSITION	POSITION2	HAND	OVERALLRTG	FGPBASE	THREEPTBAS	FTPBASE	DNKABILITY	STLABILITY	BLKABILITY	OREABILITY	DREABILITY	BALABILITY	OFFABILITY	DEFABILITY	SPEED	QUICK	JUMP	DRIBBLE	DSTRENGTH	DHARDY	DSHOOTRANG	FATIGUE	INSIDESC	THREEPTATT	PRIMACY	SFGATT	SFGMAD	STHREEATT	STHREEMAD	SFTATT	SFTMAD	SBLOCKS	SOFFREB	SASSISTS	SPERFOUL	SSTEALS	SDEFREB	STURNOVER	SMINUTES	SGAMES	SGSTART	CHEMTYPE	year
0	Henderson	Alan	1	0	0	48	48	0	64	51	40	34	77	77	14	51	65	53	52	40	44	63	50	12	21	70	1	35	21	10	0	0	6	4	2	11	2	1	1	10	3	68	6	0		05
1	Robinson	Glenn	2	2	0	63	81	63	83	64	58	11	28	57	21	80	51	64	59	55	66	61	60	25	64	70	16	55	614	275	100	34	137	114	9	46	57	96	42	143	106	1336	42	42		05
2	Ratliff	Theo	0	1	0	60	63	0	65	68	37	99	59	76	13	48	81	49	50	50	26	62	60	12	72	72	0	28	549	266	0	0	217	140	307	195	71	300	54	419	120	2664	85	83		05
3	Crawford	Chris	2	1	0	53	57	71	87	55	56	27	39	52	18	68	30	68	65	50	58	63	55	25	49	45	17	24	471	211	113	44	119	103	20	58	45	131	37	117	55	1207	56	25		05
4	Mohammed	Nazr	0	1	0	53	52	0	59	58	62	52	78	82	11	70	45	45	50	40	24	73	60	12	51	72	0	25	472	246	0	0	169	100	52	178	36	195	55	296	96	1610	80	24		05
5	Terry	Jason	4	3	0	70	76	75	83	25	75	9	13	50	80	77	52	86	78	50	80	44	90	25	75	56	35	38	1196	499	421	146	260	215	16	49	437	192	124	287	229	3018	81	78		05
6	Moore	Mikki	1	0	0	48	44	0	86	67	32	54	60	72	24	62	54	46	53	71	27	56	35	12	28	54	0	29	99	50	0	0	35	30	13	29	19	65	7	55	22	395	32	0		05
7	Ham	Darvin	2	1	0	51	60	17	60	91	50	27	74	50	17	38	62	62	64	88	35	67	60	15	35	49	2	14	75	37	2	1	35	21	8	47	16	63	13	46	31	484	54	2		05
8	Johnson	DerMarr	3	2	0	58	78	74	90	80	51	40	14	63	18	75	41	64	62	75	69	46	47	25	28	46	37	34	97	36	36	13	31	28	7	5	11	32	8	34	16	287	21	1		05
9	Newble	Ira	2	2	0	50	52	19	78	58	37	25	42	38	32	38	63	65	68	55	62	61	70	15	60	53	6	21	276	108	19	2	46	36	19	65	72	109	25	90	54	1245	64	25		05
10	Dickau	Dan	4	4	0	50	78	67	81	0	86	0	20	35	63	62	39	67	69	40	70	54	50	25	35	43	30	20	98	37	30	10	14	11	0	7	38	44	17	19	26	294	43	0		05
11	Abdur-Rahim	Shareef	1	2	0	74	65	45	87	68	46	22	57	78	32	80	53	67	71	52	65	75	90	20	72	79	3	55	1054	501	34	9	429	373	37	189	174	222	68	450	184	2684	85	56		05
12	Williams	Eric	2	1	0	59	54	56	76	58	69	7	28	63	31	72	54	75	72	50	55	59	65	23	61	57	21	40	598	231	127	35	283	215	9	65	120	180	70	221	88	1886	71	36		05
13	Battie	Tony	0	0	0	57	60	20	74	58	32	74	64	77	20	53	29	50	60	65	35	66	64	18	50	71	2	36	384	170	9	2	89	66	67	118	58	159	26	241	63	1478	73	7		05
14	Delk	Tony	4	3	0	59	73	69	84	30	84	22	25	45	27	74	62	78	75	60	71	50	79	25	34	41	35	10	184	70	66	20	44	37	7	16	28	46	27	43	17	509	33	11		05
15	Coles	Bimbo	4	4	0	43	55	47	83	0	45	9	13	36	50	43	88	71	77	50	67	45	44	20	18	44	1	15	34	12	0	0	6	4	0	2	15	27	3	8	9	170	22	1		05
16	Baker	Vin	0	1	0	57	59	11	73	58	40	40	69	69	25	78	50	55	52	40	49	71	55	15	53	73	0	34	432	208	3	1	157	114	32	112	66	160	29	168	77	1313	54	33		05
17	McCarty	Walter	2	2	0	62	81	85	76	57	70	18	13	59	32	61	57	68	61	58	51	51	90	25	59	49	55	38	523	203	366	137	82	62	22	28	124	179	72	211	91	1901	77	23		05
