DELETED,NAME,FNAME,NICKNAMEID,PLAYERID,NUMBER,POSITION,POSITION2,YEARSEXP,SCHOOLNUM,HAND,SHOELIMIT,ORIGHSHOE,ORIGASHOE,OVERALLRTG,PLAYRVALUE,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,SCOREAREA,FACIALCTRL,FTRITUAL,AUDIONICK,CELEBPACK,THREEPTSTY,ORIGTEAM,TEAM,ROSTERPOS,BIRTHDATE,BTOWNID,DPLACE,DROUND,DOVERALL,DRAFTYEAR,DRAFTEDBY,SCRATCH1,SCRATCH2,SCRATCH3,DUNKPACK,DESTINY,INJURYID,INJURYDATE,RECOVRDATE,ISPLAYABLE,ISCREATED,FACEPATCH,ISGENERATE,ISHISTORIC,TRADEABLE,PLAYERPKG,INSEASON,INPLAYOFF,ROOKIEPKG,ROOKVALUE,ROOKIERANK,ROOKIERNK2,GRADCLASS,CASH_YEAR,CASH_TOTAL,CASH_RAISE,YEARS_LONG,YEARS_LEFT,CASH_TEAM,PREF_LEN,MIN_TARGET,LOWBALLED,ISMINIMUM,WEEKLYMVP,MONTHLYMVP,WEEKGAMES,MONTHGAMES,RAWOFFVAL,RAWDEFVAL,OFFVALUE,DEFVALUE,SFGATT,SFGMAD,STHREEATT,STHREEMAD,SFTATT,SFTMAD,SBLOCKS,SOFFREB,SASSISTS,SPERFOUL,SSTEALS,SDEFREB,STURNOVER,SMINUTES,SGAMES,SGSTART,SEJECT,CSFGATT,CSFGMAD,CSTHREEATT,CSTHREEMAD,CSFTATT,CSFTMAD,CSBLOCKS,CSOFFREB,CSASSISTS,CSPERFOUL,CSSTEALS,CSDEFREB,CSTURNOVER,CSMINUTES,CSGAMES,CSGSTART,CSEJECT,PFGATT,PFGMAD,PTHREEATT,PTHREEMAD,PFTATT,PFTMAD,PBLOCKS,POFFREB,PASSISTS,PPERFOUL,PSTEALS,PDEFREB,PTURNOVER,PMINUTES,PGAMES,PGSTART,PEJECT,CPFGATT,CPFGMAD,CPTHREEAT,CPTHREEMAD,CPFTATT,CPFTMAD,CPBLOCKS,CPOFFREB,CPASSISTS,CPPERFOUL,CPSTEALS,CPDEFREB,CPTURNOVER,CPMINUTES,CPGAMES,CPGSTART,CPEJECT
False,Henderson,Alan,-1,6,99,1,0,9,53,0,1,52,52,48,3377,48,0,64,51,40,34,77,77,14,51,65,53,52,40,44,63,50,12,21,70,1,35,9,2,0,0,2,9,5,5,8,19720212,2,16,1,16,1995,Atl,0,0,0,13,5,0,0,0,True,False,False,False,False,,ALHENDE,False,False,0,0,0,0,0,8273,0,0,7,1,5,,0,,,0,0,0,0,0,0,0,0,21,10,0,0,6,4,2,11,2,1,1,10,3,68,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Robinson,Glenn,34,154,31,2,2,10,105,0,1,52,51,63,3978,81,63,83,64,58,11,28,57,21,80,51,64,59,55,66,61,60,25,64,70,16,55,9,2,0,0,2,7,21,21,2,19730110,58,1,1,1,1994,Mil,0,0,0,6,5,0,0,0,True,False,False,False,False,,GLROBIN,False,False,0,0,0,0,0,12000,0,0,2,1,21,,0,,,0,0,0,0,0,0,0,0,614,275,100,34,137,114,9,46,57,96,42,143,106,1336,42,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Ratliff,Theo,-1,348,42,0,1,9,158,0,2,135,135,60,3845,63,0,65,68,37,99,59,76,13,48,81,49,50,50,26,62,60,12,72,72,0,28,9,1,0,0,1,9,23,23,0,19730417,110,18,1,18,1995,Det,0,0,0,13,4,0,0,0,True,False,False,False,False,,THRATLI,False,False,0,0,0,0,0,10938,0,1094,4,4,23,,0,,,0,0,0,0,0,0,0,0,549,266,0,0,217,140,307,195,71,300,54,419,120,2664,85,83,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Crawford,Chris,-1,399,4,2,1,7,65,0,1,41,41,53,3607,57,71,87,55,56,27,39,52,18,68,30,68,65,50,58,63,55,25,49,45,17,24,5,0,0,0,0,8,0,0,8,19750513,124,51,2,51,1997,Atl,0,0,0,6,4,0,0,0,True,False,False,False,False,,CHCRAWF,False,False,0,0,0,0,0,3250,0,0,6,1,0,,0,,,0,0,0,0,0,0,0,0,471,211,113,44,119,103,20,58,45,131,37,117,55,1207,56,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Mohammed,Nazr,-1,487,13,0,1,6,59,0,2,132,132,53,3604,52,0,59,58,62,52,78,82,11,70,45,45,50,40,24,73,60,12,51,72,0,25,9,1,0,0,1,9,19,19,0,19770905,320,29,1,29,1998,Utah,0,0,0,13,4,0,0,0,True,False,False,False,False,,NAMOHAM,False,False,0,0,0,0,0,5250,0,250,5,2,19,,0,,,0,0,0,0,0,0,0,0,472,246,0,0,169,100,52,178,36,195,55,296,96,1610,80,24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,0,0,16,11,3,10,1,18,6,13,7,97,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Terry,Jason,-1,517,31,4,3,5,4,0,1,56,56,70,4263,76,75,83,25,75,9,13,50,80,77,52,86,78,50,80,44,90,25,75,56,35,38,6,1,0,0,1,4,5,5,4,19770915,369,10,1,10,1999,Atl,0,0,0,5,3,0,0,0,True,False,False,False,False,,JATERRY,False,False,0,0,0,0,0,7200,0,300,7,2,5,,0,,,0,0,0,0,0,0,0,0,1196,499,421,146,260,215,16,49,437,192,124,287,229,3018,81,78,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Moore,Mikki,-1,555,59,1,0,6,81,0,0,160,160,48,3388,44,0,86,67,32,54,60,72,24,62,54,46,53,71,27,56,35,12,28,54,0,29,4,1,0,0,1,9,11,11,13,19751104,235,-1,-1,-1,1997,--,0,0,0,14,4,0,0,0,True,False,False,False,False,,MIMOORE,False,False,0,0,0,0,0,870,0,0,1,1,11,,0,,,0,0,0,0,0,0,0,0,99,50,0,0,35,30,13,29,19,65,7,55,22,395,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Ham,Darvin,-1,88,8,2,1,7,133,0,1,54,54,51,3495,60,17,60,91,50,27,74,50,17,38,62,62,64,88,35,67,60,15,35,49,2,14,4,2,0,0,2,6,7,7,9,19730723,383,-1,-1,-1,1996,--,0,0,0,10,5,0,0,0,True,False,False,False,False,,DAHAM__,False,False,0,0,0,0,0,933,0,0,1,1,7,,0,,,0,0,0,0,0,0,0,0,75,37,2,1,35,21,8,47,16,63,13,46,31,484,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,1,0,0,0,4,8,1,19,3,6,8,108,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Johnson,DerMarr,-1,582,4,3,2,3,20,0,1,41,41,58,3803,78,74,90,80,51,40,14,63,18,75,41,64,62,75,69,46,47,25,28,46,37,34,5,1,0,0,1,8,50,50,11,19800505,498,6,1,6,2000,Was,0,0,0,7,4,0,0,0,True,False,False,False,False,,DRJOHNS,False,False,0,0,0,0,0,0,0,0,1,1,50,,0,,,0,0,0,0,0,0,0,0,97,36,36,13,31,28,7,5,11,32,8,34,16,287,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,1,0,2,2,0,2,0,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
False,Newble,Ira,-1,660,14,2,2,4,71,0,0,122,130,50,3452,52,19,78,58,37,25,42,38,32,38,63,65,68,55,62,61,70,15,60,53,6,21,4,1,0,0,1,6,4,4,11,19750120,374,-1,-1,-1,1997,--,0,0,0,6,4,0,0,0,True,False,False,False,False,,IRNEWBL,False,False,0,0,0,0,0,2704,0,246,4,4,4,,0,,,0,0,0,0,0,0,0,0,276,108,19,2,46,36,19,65,72,109,25,90,54,1245,64,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
