DELETED,NAME,FNAME,NICKNAMEID,PLAYERID,NUMBER,POSITION,POSITION2,YEARSEXP,SCHOOLNUM,HAND,SHOELIMIT,ORIGHSHOE,ORIGASHOE,OVERALLRTG,PLAYRVALUE,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,SCOREAREA,FACIALCTRL,FTRITUAL,AUDIONICK,CELEBPACK,THREEPTSTY,ORIGTEAM,TEAM,ROSTERPOS,BIRTHDATE,BTOWNID,DPLACE,DROUND,DOVERALL,DRAFTYEAR,DRAFTEDBY,SCRATCH1,SCRATCH2,SCRATCH3,DUNKPACK,DESTINY,INJURYID,INJURYDATE,RECOVRDATE,ISPLAYABLE,ISCREATED,ISGENERATE,ISHISTORIC,TRADEABLE,PLAYERPKG,INSEASON,INPLAYOFF,ROOKIEPKG,ROOKVALUE,ROOKIERANK,ROOKIERNK2,CASH_YEAR,CASH_TOTAL,CASH_RAISE,YEARS_LONG,YEARS_LEFT,CASH_TEAM,PREF_LEN,MIN_TARGET,LOWBALLED,ISMINIMUM,WEEKLYMVP,MONTHLYMVP,SUPERSTAR,OFFVALUE,DEFVALUE,SFGATT,SFGMAD,STHREEATT,STHREEMAD,SFTATT,SFTMAD,SBLOCKS,SOFFREB,SASSISTS,SPERFOUL,SSTEALS,SDEFREB,STURNOVER,SMINUTES,SGAMES,SGSTART,SEJECT,CSFGATT,CSFGMAD,CSTHREEATT,CSTHREEMAD,CSFTATT,CSFTMAD,CSBLOCKS,CSOFFREB,CSASSISTS,CSPERFOUL,CSSTEALS,CSDEFREB,CSTURNOVER,CSMINUTES,CSGAMES,CSGSTART,CSEJECT,PFGATT,PFGMAD,PTHREEATT,PTHREEMAD,PFTATT,PFTMAD,PBLOCKS,POFFREB,PASSISTS,PPERFOUL,PSTEALS,PDEFREB,PTURNOVER,PMINUTES,PGAMES,PGSTART,PEJECT,CPFGATT,CPFGMAD,CPTHREEAT,CPTHREEMAD,CPFTATT,CPFTMAD,CPBLOCKS,CPOFFREB,CPASSISTS,CPPERFOUL,CPSTEALS,CPDEFREB,CPTURNOVER,CPMINUTES,CPGAMES,CPGSTART,CPEJECT,LEARNING,WORKETHC,BIRDRIGHTS,CASHRESIGN,SPEECHID,SPECMAP,ISEDITED,ISORIGSS,VALIDSSTAR,DFLTTEAM
False,McKie,Aaron,-1,0,8,4,3,11,128,0,0,21,24,66,1092,72,58,76,10,78,23,14,70,44,25,74,72,65,50,62,57,87,23,42,49,42,23,2,1,0,,1,5,21,21,6,19721002,385,17,1,17,1994,Por,0,0,0,1,6,0,,,True,False,False,False,,AAMCKIE,False,False,0,0,0,0,6000,0,500,7,2,21,0,0,0,False,0,0,0,0,0,142,61,62,20,16,10,17,20,103,116,48,152,31,1118,68,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,0,0,0,1,5,9,4,11,1,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,2,False,False,0,21
False,Williams,Aaron,-1,1,34,1,0,11,159,1,2,129,133,58,963,45,0,68,69,28,39,43,70,11,43,60,58,51,73,20,68,61,12,21,65,0,27,4,2,0,,2,10,27,27,13,19711002,209,-1,-1,-1,1993,--,0,0,0,11,6,0,,,True,False,False,False,,AAWILLI,False,False,0,0,0,0,6300,0,275,6,3,27,0,0,0,False,0,0,0,0,0,63,29,0,0,17,15,8,17,8,70,5,43,17,315,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,1,3,False,False,0,27
False,Foyle,Adonal,-1,4,31,0,0,8,226,0,0,52,51,57,961,23,0,55,65,27,93,73,75,15,38,38,49,44,40,18,81,45,12,53,43,0,25,4,1,0,,1,10,8,8,0,19750329,0,8,1,8,1997,GS,0,0,0,2,4,0,,,True,False,False,False,,ADFOYLE,False,False,0,0,0,0,7300,0,800,6,5,8,0,0,0,False,0,0,0,0,0,311,156,0,0,72,40,159,165,56,201,26,264,58,1700,78,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,4,3,False,False,0,8
False,Henderson,Alan,-1,6,50,1,0,10,53,0,0,52,52,61,1018,48,0,53,51,43,48,87,74,8,43,65,53,52,40,44,68,50,12,42,70,0,26,9,2,0,,2,10,5,5,9,19720212,2,16,1,16,1995,Atl,0,0,0,8,5,0,,,True,False,False,False,,ALHENDE,False,False,0,0,0,0,1100,0,0,1,1,5,0,0,0,False,0,0,0,0,0,220,116,2,0,76,41,37,164,21,149,29,184,49,1203,78,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,0,0,2,2,2,11,0,15,2,6,2,92,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,6,3,False,False,0,5
False,Houston,Allan,-1,7,20,3,3,12,129,0,1,42,42,68,1123,79,80,83,51,27,5,5,18,37,76,75,74,72,65,66,50,84,25,50,61,39,54,5,1,0,,1,3,19,19,13,19710420,256,11,1,11,1993,Det,0,0,0,5,6,0,,,True,False,False,False,,ALHOUST,False,False,0,0,0,0,19125,0,1593,6,2,19,0,0,0,False,0,0,0,0,0,205,85,80,31,43,36,2,4,42,40,8,19,21,532,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,7,14,False,False,0,19
False,Iverson,Allen,157,8,3,4,3,9,43,0,3,147,146,89,1434,85,65,83,40,86,3,12,40,90,91,90,99,99,80,99,37,90,25,91,60,19,99,6,2,0,,3,1,21,21,4,19750607,425,1,1,1,1996,Phi,0,0,0,0,4,0,,,True,False,False,False,,ALIVERS,False,False,0,0,0,0,16453,0,1828,5,4,21,0,0,0,False,0,0,18,0,0,1818,771,338,104,786,656,9,51,596,140,180,248,344,3174,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,59,29,12,29,26,2,0,50,12,10,11,21,238,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,8,11,False,True,19,21
False,Mourning,Alonzo,0,9,33,0,1,10,43,0,1,52,51,72,1173,55,0,58,79,20,97,60,86,11,76,78,60,61,50,37,79,55,12,40,76,0,52,9,2,0,,10,10,14,14,6,19700208,3,2,1,2,1992,Cha,0,0,0,8,6,0,,,True,False,False,False,,ALMOURN,False,False,0,0,0,0,5900,0,0,3,1,14,0,0,0,False,0,0,0,0,0,212,100,0,0,141,82,74,53,18,82,8,145,57,702,37,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,31,0,0,52,29,33,21,5,49,5,51,22,254,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,9,3,False,False,0,14
False,Daniels,Antonio,-1,11,6,4,3,8,12,0,2,52,52,69,1136,62,59,81,48,44,1,7,37,81,78,52,74,69,65,72,56,71,23,62,49,26,60,6,1,0,,1,5,29,29,5,19750319,99,4,1,4,1997,Van,0,0,0,5,4,0,,,True,False,False,False,,ANDANIE,False,False,0,0,0,0,5000,0,500,5,5,29,0,0,0,False,0,0,0,0,0,623,273,165,49,304,248,3,20,309,78,51,149,78,2026,75,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,44,14,4,70,60,0,4,49,13,11,27,11,331,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,11,4,False,False,0,29
False,Davis,Antonio,-1,12,34,0,1,12,143,0,0,50,49,68,1120,59,0,75,72,25,36,65,73,21,51,80,63,65,50,32,63,81,12,59,74,0,35,9,2,0,,2,10,3,3,7,19681031,444,45,2,45,1990,Ind,0,0,0,11,7,0,,,True,False,False,False,,ANDAVIS,False,False,0,0,0,0,13900,0,0,5,1,3,0,0,0,False,0,0,0,0,0,419,193,0,0,152,115,41,152,80,147,27,276,96,1843,72,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,20,0,0,23,17,4,17,11,25,4,24,9,175,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,12,3,False,False,0,3
False,DeClercq,Andrew,-1,13,55,0,1,10,37,0,0,50,49,63,1052,36,0,81,58,72,43,78,75,18,37,61,60,55,50,31,75,85,12,12,50,0,35,4,2,0,,2,10,20,20,12,19730201,20,35,2,35,1995,GS,0,0,0,2,4,0,,,True,False,False,False,,ANDECLE,False,False,0,0,0,0,1100,0,0,1,1,20,0,0,0,False,0,0,0,0,0,9,4,0,0,3,1,0,7,0,14,2,3,1,49,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,13,15,False,False,0,20
