DELETED,NAME,FNAME,NICKNAMEID,PLAYERID,NUMBER,POSITION,POSITION2,YEARSEXP,SCHOOLNUM,HAND,SHOELIMIT,ORIGHSHOE,ORIGASHOE,OVERALLRTG,PLAYRVALUE,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,SCOREAREA,FACIALCTRL,FTRITUAL,AUDIONICK,CELEBPACK,THREEPTSTY,ORIGTEAM,TEAM,ROSTERPOS,BIRTHDATE,BTOWNID,DPLACE,DROUND,DOVERALL,DRAFTYEAR,DRAFTEDBY,SCRATCH1,SCRATCH2,SCRATCH3,DUNKPACK,DESTINY,INJURYID,INJURYDATE,RECOVRDATE,ISPLAYABLE,ISCREATED,ISGENERATE,ISHISTORIC,TRADEABLE,PLAYERPKG,INSEASON,INPLAYOFF,ROOKIEPKG,ROOKVALUE,ROOKIERANK,CASHYR_EXP,CASH_YEAR,CASH_TOTAL,CASH_RAISE,YEARS_LONG,YEARS_LEFT,CASH_TEAM,PREF_LEN,MIN_TARGET,LOWBALLED,ISMINIMUM,WEEKLYMVP,MONTHLYMVP,SUPERSTAR,OFFVALUE,DEFVALUE,SFGATT,SFGMAD,STHREEATT,STHREEMAD,SFTATT,SFTMAD,SBLOCKS,SOFFREB,SASSISTS,SPERFOUL,SSTEALS,SDEFREB,STURNOVER,SMINUTES,SGAMES,SGSTART,SEJECT,CSFGATT,CSFGMAD,CSTHREEATT,CSTHREEMAD,CSFTATT,CSFTMAD,CSBLOCKS,CSOFFREB,CSASSISTS,CSPERFOUL,CSSTEALS,CSDEFREB,CSTURNOVER,CSMINUTES,CSGAMES,CSGSTART,CSEJECT,PFGATT,PFGMAD,PTHREEATT,PTHREEMAD,PFTATT,PFTMAD,PBLOCKS,POFFREB,PASSISTS,PPERFOUL,PSTEALS,PDEFREB,PTURNOVER,PMINUTES,PGAMES,PGSTART,PEJECT,CPFGATT,CPFGMAD,CPTHREEAT,CPTHREEMAD,CPFTATT,CPFTMAD,CPBLOCKS,CPOFFREB,CPASSISTS,CPPERFOUL,CPSTEALS,CPDEFREB,CPTURNOVER,CPMINUTES,CPGAMES,CPGSTART,CPEJECT,LEARNING,WORKETHC,BIRDRIGHTS,CASHRESIGN,SPEECHID,SPECMAP,ISEDITED,ISORIGSS,VALIDSSTAR,DFLTTEAM,CLUTCH,SSTAR_HF,SSTAR_PM,SSTAR_PW,SSTAR_SCO,SSTAR_SCI,SSTAR_SH,SSTAR_STO,SSTAR_STI,SS_HF_ANI,SS_PM_ANI,SS_PW_ANI,SS_SCO_ANI,SS_SCI_ANI,SS_SH_ANI,SS_STO_ANI,SS_STI_ANI,CHEMTYPE,CHEMWANT,CHEMHAVE,CHEMHAPPY
False,McKie,Aaron,-1,0,2,4,3,12,128,0,0,62,68,67,1107,72,58,76,10,78,23,14,70,44,25,74,78,65,50,62,57,87,23,50,49,42,23,2,1,6,,1,5,12,12,12,19721002,385,17,1,17,1994,Por,0,0,0,3,6,0,,,True,False,False,False,,AAMCKIE,False,False,0,0,0,0,2500,0,500,7,1,12,0,0,0,False,0,0,0,0,0,12,3,2,0,2,1,0,3,11,7,5,17,2,122,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,2,0,0,0,2,False,False,0,21,39,-88,-45,-86,-32,-51,-14,-7,-37,0,0,0,0,0,0,0,0,6,0,0,0
False,Williams,Aaron,-1,1,34,1,0,12,159,1,0,88,89,58,992,45,0,68,69,28,39,43,70,11,43,60,58,51,73,20,68,61,12,50,65,0,27,4,2,6,,2,10,27,11,11,19711002,209,-1,-1,-1,1993,--,0,0,0,6,6,0,,,True,False,False,False,,AAWILLI,False,False,0,0,0,0,1750,0,275,6,1,11,0,0,0,False,0,0,0,0,0,176,91,0,0,58,40,21,64,17,138,17,117,30,791,48,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,1,3,False,False,0,27,39,-16,-89,-17,-67,-36,-65,-47,-24,0,0,0,0,0,0,0,0,7,0,0,0
False,Foyle,Adonal,-1,4,31,0,0,9,226,0,0,5,14,63,1050,45,0,61,60,27,83,73,75,15,43,77,55,51,40,18,81,45,12,61,55,0,25,4,1,6,,1,10,8,8,0,19750309,0,8,1,8,1997,GS,0,0,0,6,4,0,,,True,False,False,False,,ADFOYLE,False,False,0,0,0,0,8125,0,813,6,4,8,0,0,0,False,0,0,0,0,0,300,152,0,0,67,41,125,143,33,215,44,281,80,1816,77,72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,4,3,False,False,0,8,39,-51,-99,-34,-82,-39,-83,-68,18,0,0,0,0,0,0,0,0,7,0,0,0
False,Henderson,Alan,-1,6,44,1,0,11,53,0,0,58,58,61,1026,48,0,53,51,43,48,87,74,8,43,65,53,52,40,44,68,50,12,50,70,0,26,9,2,6,,2,10,4,50,11,19721202,2,16,1,16,1995,Atl,0,0,0,6,5,0,,,True,False,False,False,,ALHENDE,False,False,0,0,0,0,1178,0,0,1,1,50,0,0,0,False,0,0,0,0,0,91,47,0,0,49,33,12,60,10,58,9,77,22,536,51,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,6,3,False,False,0,5,59,-42,-78,-29,-53,-32,-72,-35,-16,0,0,0,0,0,0,0,0,6,0,0,0
False,Iverson,Allen,157,8,3,4,3,10,43,0,3,176,175,90,1450,85,70,81,40,89,10,12,40,90,93,90,99,99,80,99,37,90,25,91,60,19,99,6,2,11,,3,1,21,21,4,19750607,425,1,1,1,1996,Phi,0,0,0,2,4,0,,,True,False,False,False,,ALIVERS,False,False,0,0,0,0,18281,0,1828,5,3,21,0,0,0,False,0,0,18,0,0,1822,815,223,72,829,675,10,44,532,121,140,188,248,3098,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,8,11,False,True,19,21,90,-70,78,-77,72,-33,-12,79,-96,0,0,0,0,0,0,0,0,9,0,0,0
False,Mourning,Alonzo,0,9,33,0,1,13,43,0,1,46,46,77,1254,55,0,58,79,20,87,65,88,55,76,75,60,61,73,37,88,55,12,50,76,0,52,9,2,6,,10,10,14,14,6,19700208,3,2,1,2,1992,Cha,0,0,0,14,6,0,,,True,False,False,False,,ALMOURN,False,False,0,0,0,0,1178,0,0,1,1,14,0,0,0,False,0,0,128,0,0,315,188,1,0,224,133,173,125,11,177,13,234,79,1301,65,20,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,26,0,0,42,28,24,17,3,49,5,44,17,226,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,9,3,False,False,128,14,61,-14,-45,-16,-42,-11,-79,-66,38,0,0,0,0,0,0,0,0,8,0,0,0
False,Daniels,Antonio,-1,11,6,4,3,9,12,0,2,233,226,70,1149,62,59,81,48,44,1,11,39,81,78,56,74,69,65,72,59,71,23,62,49,26,60,6,1,6,,1,5,29,29,5,19750319,99,4,1,4,1997,Van,0,0,0,5,4,0,,,True,False,False,False,,ANDANIE,False,False,0,0,0,0,5400,0,400,5,4,29,0,0,0,False,0,0,0,0,0,550,230,101,23,336,284,8,19,284,96,52,153,89,2265,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,28,11,3,22,20,1,2,20,4,3,15,10,217,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,11,4,False,False,0,29,44,-28,-6,-38,-9,-26,-24,-23,-83,0,0,0,0,0,0,0,0,2,0,0,0
False,Davis,Antonio,-1,12,32,0,1,13,143,0,0,45,46,68,1120,59,0,75,72,25,36,65,73,21,51,80,63,65,50,32,63,81,12,59,74,0,35,9,2,6,,2,10,19,50,11,19681031,444,45,2,45,1990,Ind,0,0,0,5,7,0,,,True,False,False,False,,ANDAVIS,False,False,0,0,0,0,13900,0,0,5,1,50,0,0,0,False,0,0,0,0,0,190,82,1,0,81,52,10,90,21,125,23,118,51,940,44,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,12,3,False,False,0,3,79,-31,-85,-15,-59,-21,-66,-56,-27,0,0,0,0,0,0,0,0,6,0,0,0
False,Hardaway,Penny,-1,15,1,4,3,13,69,0,1,61,58,64,1054,62,56,73,55,57,5,16,40,39,57,59,70,68,45,80,57,46,23,50,57,19,38,4,1,6,,1,7,19,50,5,19710718,411,3,1,3,1993,GS,0,0,0,5,7,0,,,True,False,False,False,,ANHARDA,False,False,0,0,0,0,15750,0,0,7,1,50,0,0,0,False,0,0,0,0,0,14,4,1,0,2,2,0,0,8,7,2,10,6,72,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,15,4,False,False,0,19,79,-38,-40,-51,-23,-33,-20,-16,-77,0,0,0,0,0,0,0,0,6,0,0,0
False,Johnson,Anthony,-1,16,8,4,4,9,18,0,0,55,55,72,1182,70,64,75,45,60,12,14,43,84,66,68,74,74,40,73,65,69,25,70,43,24,49,6,1,6,,1,5,10,5,10,19741002,258,40,2,40,1997,Sac,0,0,0,4,5,0,,,True,False,False,False,,ANJOHNS,False,False,0,0,0,0,2640,0,220,4,2,5,0,0,0,False,0,0,0,0,0,603,267,155,51,141,106,22,31,324,132,63,137,115,1980,75,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,45,20,8,33,22,0,8,31,17,6,22,14,240,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,16,3,False,False,0,10,59,-45,-13,-37,-11,-31,-12,-8,-65,0,0,0,0,0,0,0,0,6,0,0,0
