DELETED,NAME,FNAME,NICKNAMEID,PLAYERID,NUMBER,POSITION,POSITION2,YEARSEXP,SCHOOLNUM,HAND,SHOELIMIT,ORIGHSHOE,ORIGASHOE,OVERALLRTG,PLAYRVALUE,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,SCOREAREA,FACIALCTRL,FTRITUAL,AUDIONICK,CELEBPACK,THREEPTSTY,ORIGTEAM,TEAM,ROSTERPOS,BIRTHDATE,BTOWNID,DPLACE,DROUND,DOVERALL,DRAFTYEAR,DRAFTEDBY,SCRATCH1,SCRATCH2,SCRATCH3,DUNKPACK,DESTINY,INJURYID,INJURYDATE,RECOVRDATE,ISPLAYABLE,ISCREATED,ISGENERATE,ISHISTORIC,TRADEABLE,PLAYERPKG,INSEASON,INPLAYOFF,ROOKIEPKG,ROOKVALUE,ROOKIERANK,CASHYR_EXP,CASH_YEAR,CASH_TOTAL,CASH_RAISE,YEARS_LONG,YEARS_LEFT,CASH_TEAM,PREF_LEN,MIN_TARGET,LOWBALLED,ISMINIMUM,WEEKLYMVP,MONTHLYMVP,SUPERSTAR,OFFVALUE,DEFVALUE,SFGATT,SFGMAD,STHREEATT,STHREEMAD,SFTATT,SFTMAD,SBLOCKS,SOFFREB,SASSISTS,SPERFOUL,SSTEALS,SDEFREB,STURNOVER,SMINUTES,SGAMES,SGSTART,SEJECT,CSFGATT,CSFGMAD,CSTHREEATT,CSTHREEMAD,CSFTATT,CSFTMAD,CSBLOCKS,CSOFFREB,CSASSISTS,CSPERFOUL,CSSTEALS,CSDEFREB,CSTURNOVER,CSMINUTES,CSGAMES,CSGSTART,CSEJECT,PFGATT,PFGMAD,PTHREEATT,PTHREEMAD,PFTATT,PFTMAD,PBLOCKS,POFFREB,PASSISTS,PPERFOUL,PSTEALS,PDEFREB,PTURNOVER,PMINUTES,PGAMES,PGSTART,PEJECT,CPFGATT,CPFGMAD,CPTHREEAT,CPTHREEMAD,CPFTATT,CPFTMAD,CPBLOCKS,CPOFFREB,CPASSISTS,CPPERFOUL,CPSTEALS,CPDEFREB,CPTURNOVER,CPMINUTES,CPGAMES,CPGSTART,CPEJECT,LEARNING,WORKETHC,BIRDRIGHTS,CASHRESIGN,SPEECHID,SPECMAP,ISEDITED,ISORIGSS,VALIDSSTAR,DFLTTEAM,CLUTCH,SSTAR_HF,SSTAR_PM,SSTAR_PW,SSTAR_SCO,SSTAR_SCI,SSTAR_SH,SSTAR_STO,SSTAR_STI,SS_HF_ANI,SS_PM_ANI,SS_PW_ANI,SS_SCO_ANI,SS_SCI_ANI,SS_SH_ANI,SS_STO_ANI,SS_STI_ANI,CHEMTYPE,CHEMWANT,CHEMHAVE,CHEMHAPPY,HOTSPOT_0,HOTSPOT_1,HOTSPOT_2,HOTSPOT_3,HOTSPOT_4,HOTSPOT_5,HOTSPOT_6,HOTSPOT_7,HOTSPOT_8,HOTSPOT_9,HOTSPOT_10,HOTSPOT_11,HOTSPOT_12,HOTSPOT_13,GOTOMOVE,GTMHOTSPOT,SIGSHT1
False,Williams,Aaron,-1,1,34,1,0,13,159,1,0,88,89,58,992,45,0,68,69,28,39,43,70,11,43,60,58,51,73,20,68,61,12,50,65,0,27,4,2,6,,2,10,27,11,9,19711002,209,-1,-1,-1,1993,--,0,0,0,6,6,0,0,0,True,False,False,False,0,AAWILLI,False,False,0,0,0,0,1750,0,275,2,1,11,0,0,0,False,0,0,0,0,0,53,29,1,0,22,18,14,27,8,57,7,57,18,372,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,1,3,False,False,0,27,39,-16,-89,-17,-67,-36,-65,-52,-29,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,5,55,50,50,52,54,55,60,61,54,0,0,0
False,Foyle,Adonal,-1,4,31,0,0,10,226,0,0,5,14,63,1050,45,0,61,60,27,83,73,75,15,43,77,55,51,40,18,81,45,12,61,55,0,25,4,1,6,,1,10,8,8,6,19750309,0,8,1,8,1997,GS,0,0,0,6,4,0,0,0,True,False,False,False,0,ADFOYLE,False,False,0,0,0,0,8937,0,813,6,3,8,0,0,0,False,0,0,0,0,0,85,48,0,0,25,11,50,53,19,62,11,77,23,475,48,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,4,3,False,False,0,8,39,-51,-99,-34,-82,-39,-83,-51,-5,0,0,0,0,0,0,0,0,7,0,0,0,1,0,3,0,5,50,52,45,44,43,55,54,51,47,0,0,0
False,Henderson,Alan,-1,6,44,1,0,12,53,0,0,58,58,61,1026,48,0,53,51,43,48,87,74,8,43,65,53,52,40,44,68,50,12,50,70,0,26,9,2,6,,2,10,4,50,10,19721202,2,16,1,16,1995,Atl,0,0,0,6,5,0,0,0,True,False,False,False,0,ALHENDE,False,False,0,0,0,0,1178,0,0,1,1,50,0,0,0,False,0,0,0,0,0,67,43,0,0,47,33,12,49,11,61,9,61,12,418,38,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,0,0,6,3,False,False,0,5,59,-42,-78,-29,-53,-32,-72,-41,-22,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,35,31,38,31,41,63,67,58,51,0,0,0
False,Iverson,Allen,157,8,3,3,4,11,43,0,3,176,175,90,1446,85,70,81,40,89,10,12,40,90,93,90,99,99,80,99,37,90,25,91,60,19,99,6,2,11,,3,1,21,6,4,19750607,425,1,1,1,1996,Phi,0,0,0,2,4,0,0,0,True,False,False,False,0,ALIVERS,False,False,0,0,0,0,20109,0,1828,4,2,6,0,0,0,False,0,0,18,0,0,1313,581,197,62,610,485,13,26,468,98,123,169,268,2763,65,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,42,17,5,31,25,0,0,29,11,7,3,15,223,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,0,0,8,11,False,True,19,21,90,-50,73,-66,72,-28,-12,74,-89,0,0,0,0,0,0,0,0,9,0,0,0,60,89,30,58,64,86,86,74,68,86,89,90,84,92,117,15360,0
False,Mourning,Alonzo,0,9,33,0,1,14,43,0,1,46,46,77,1254,55,0,58,79,20,87,65,88,55,76,75,60,61,73,37,88,55,12,50,76,0,52,9,2,6,,10,10,14,14,5,19700208,3,2,1,2,1992,Cha,0,0,0,14,6,0,0,0,True,False,False,False,0,ALMOURN,False,False,0,0,0,0,2762,0,0,2,1,14,0,0,0,False,0,0,0,0,0,425,238,0,0,308,185,178,123,15,216,13,223,129,1571,77,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,13,5,3,1,1,6,0,7,1,55,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,9,3,False,False,0,14,61,-14,-45,-16,-42,-11,-79,-50,-6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,51,54,54,54,48,64,65,67,92,0,0,0
False,Daniels,Antonio,-1,11,6,4,3,10,12,0,2,233,226,70,1149,62,59,81,48,44,1,11,39,81,78,56,74,69,65,72,59,71,23,62,49,26,60,6,1,6,,1,5,29,29,5,19750319,99,4,1,4,1997,Van,0,0,0,5,4,0,0,0,True,False,False,False,0,ANDANIE,False,False,0,0,0,0,5800,0,400,5,3,29,0,0,0,False,0,0,0,0,0,389,172,63,19,250,208,9,16,288,80,39,136,69,1760,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,17,5,1,21,18,1,2,47,4,5,16,7,176,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,0,11,4,False,False,0,29,44,-28,-6,-38,-9,-26,-24,-28,-86,0,0,0,0,0,0,0,0,2,0,0,0,52,34,25,52,53,65,59,62,35,75,34,41,40,53,0,0,0
False,Johnson,Anthony,-1,16,8,4,4,10,18,0,0,55,55,72,1182,70,64,75,45,60,12,14,43,84,66,68,74,74,40,73,65,69,25,70,43,24,49,6,1,6,,1,5,10,0,11,19741002,258,40,2,40,1997,Sac,0,0,0,4,5,0,0,0,True,False,False,False,0,ANJOHNS,False,False,0,0,0,0,2860,0,220,4,1,0,0,0,0,False,0,0,0,0,0,343,142,73,25,61,46,3,20,201,121,33,80,76,1300,67,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,2,0,0,16,3,False,False,0,10,59,-45,-13,-37,-11,-31,-12,-14,-70,0,0,0,0,0,0,0,0,6,0,0,0,72,50,40,35,61,45,53,61,33,65,42,65,60,47,0,0,0
False,McDyess,Antonio,3,19,24,1,0,11,2,0,2,221,221,71,1169,62,0,65,60,46,35,74,78,18,78,64,70,70,85,35,71,50,12,56,74,0,47,9,2,6,,2,10,7,7,10,19740907,6,2,1,2,1995,LAC,0,0,0,13,6,0,0,0,True,False,False,False,0,ANMCDYE,False,False,0,0,0,0,6374,0,490,4,1,7,0,0,0,False,0,0,0,0,0,540,284,0,0,139,96,65,164,74,238,61,328,75,1730,82,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,37,2,0,26,19,15,42,18,54,11,72,17,354,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,2,0,0,19,4,False,False,0,7,59,-17,-58,-24,-31,-9,-58,-30,-26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,5,89,73,50,73,79,82,62,74,66,0,0,0
False,Parker,Anthony,-1,20,18,3,2,4,212,0,0,101,101,62,1031,65,47,78,50,30,12,22,28,51,60,45,66,67,50,72,38,60,20,70,60,1,50,4,1,6,,1,7,27,27,3,19750619,282,21,1,21,1997,NJ,0,0,0,5,4,0,0,0,True,False,False,False,0,ANPARKE,False,False,0,0,0,0,4350,0,200,3,2,27,0,0,0,False,0,0,0,0,0,687,328,261,115,158,132,11,58,153,131,73,226,71,2438,73,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,26,20,8,39,31,2,3,6,18,9,29,7,240,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2,0,0,20,0,False,False,0,-1,39,-29,-24,-48,-16,-24,-20,-39,-83,0,0,0,0,0,0,0,0,10,0,0,0,45,44,42,44,43,66,60,68,61,65,56,52,59,57,0,0,0
False,Walker,Antoine,-1,22,8,2,1,11,59,0,2,218,218,78,1270,70,67,62,60,50,30,48,78,69,75,60,62,59,70,62,71,75,25,69,70,20,68,9,2,6,,2,9,14,14,2,19760812,320,6,1,6,1996,Bos,0,0,0,6,4,0,0,0,True,False,False,False,0,ANWALKE,False,False,0,0,0,0,8547,0,773,6,4,14,0,0,0,False,0,0,0,0,0,668,265,305,84,105,46,17,94,133,172,48,250,141,1817,78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,15,16,8,11,9,1,2,6,11,2,7,4,92,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,22,13,False,False,0,14,67,-18,-15,-15,-11,-8,-17,-28,-33,0,0,0,0,0,0,0,0,6,0,0,0,54,86,65,84,54,59,54,64,57,57,63,68,59,90,0,0,56
