,NAME,FNAME,POSITION,POSITION2,HAND,OVERALLRTG,FGPBASE,THREEPTBAS,FTPBASE,DNKABILITY,STLABILITY,BLKABILITY,OREABILITY,DREABILITY,BALABILITY,OFFABILITY,DEFABILITY,SPEED,QUICK,JUMP,DRIBBLE,DSTRENGTH,DHARDY,DSHOOTRANG,FATIGUE,INSIDESC,THREEPTATT,PRIMACY,CHEMTYPE,year
0,Henderson,Alan,1.0,0.0,0,48,48,0.0,64,51,40,34,77.0,77.0,14,51.0,65.0,53,52,40,44,63,50,12,21,70.0,1.0,35,,05
1,Robinson,Glenn,2.0,2.0,0,63,81,63.0,83,64,58,11,28.0,57.0,21,80.0,51.0,64,59,55,66,61,60,25,64,70.0,16.0,55,,05
2,Ratliff,Theo,0.0,1.0,0,60,63,0.0,65,68,37,99,59.0,76.0,13,48.0,81.0,49,50,50,26,62,60,12,72,72.0,0.0,28,,05
3,Crawford,Chris,2.0,1.0,0,53,57,71.0,87,55,56,27,39.0,52.0,18,68.0,30.0,68,65,50,58,63,55,25,49,45.0,17.0,24,,05
4,Mohammed,Nazr,0.0,1.0,0,53,52,0.0,59,58,62,52,78.0,82.0,11,70.0,45.0,45,50,40,24,73,60,12,51,72.0,0.0,25,,05
5,Terry,Jason,4.0,3.0,0,70,76,75.0,83,25,75,9,13.0,50.0,80,77.0,52.0,86,78,50,80,44,90,25,75,56.0,35.0,38,,05
6,Moore,Mikki,1.0,0.0,0,48,44,0.0,86,67,32,54,60.0,72.0,24,62.0,54.0,46,53,71,27,56,35,12,28,54.0,0.0,29,,05
7,Ham,Darvin,2.0,1.0,0,51,60,17.0,60,91,50,27,74.0,50.0,17,38.0,62.0,62,64,88,35,67,60,15,35,49.0,2.0,14,,05
8,Johnson,DerMarr,3.0,2.0,0,58,78,74.0,90,80,51,40,14.0,63.0,18,75.0,41.0,64,62,75,69,46,47,25,28,46.0,37.0,34,,05
9,Newble,Ira,2.0,2.0,0,50,52,19.0,78,58,37,25,42.0,38.0,32,38.0,63.0,65,68,55,62,61,70,15,60,53.0,6.0,21,,05
10,Dickau,Dan,4.0,4.0,0,50,78,67.0,81,0,86,0,20.0,35.0,63,62.0,39.0,67,69,40,70,54,50,25,35,43.0,30.0,20,,05
11,Abdur-Rahim,Shareef,1.0,2.0,0,74,65,45.0,87,68,46,22,57.0,78.0,32,80.0,53.0,67,71,52,65,75,90,20,72,79.0,3.0,55,,05
12,Williams,Eric,2.0,1.0,0,59,54,56.0,76,58,69,7,28.0,63.0,31,72.0,54.0,75,72,50,55,59,65,23,61,57.0,21.0,40,,05
13,Battie,Tony,0.0,0.0,0,57,60,20.0,74,58,32,74,64.0,77.0,20,53.0,29.0,50,60,65,35,66,64,18,50,71.0,2.0,36,,05
14,Delk,Tony,4.0,3.0,0,59,73,69.0,84,30,84,22,25.0,45.0,27,74.0,62.0,78,75,60,71,50,79,25,34,41.0,35.0,10,,05
15,Coles,Bimbo,4.0,4.0,0,43,55,47.0,83,0,45,9,13.0,36.0,50,43.0,88.0,71,77,50,67,45,44,20,18,44.0,1.0,15,,05
16,Baker,Vin,0.0,1.0,0,57,59,11.0,73,58,40,40,69.0,69.0,25,78.0,50.0,55,52,40,49,71,55,15,53,73.0,0.0,34,,05
17,McCarty,Walter,2.0,2.0,0,62,81,85.0,76,57,70,18,13.0,59.0,32,61.0,57.0,68,61,58,51,51,90,25,59,49.0,55.0,38,,05
18,Walker,Antoine,1.0,1.0,0,80,83,61.0,55,60,42,38,56.0,79.0,63,78.0,54.0,66,61,77,69,72,94,25,77,77.0,27.0,75,,05
